Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,ARIMA,1.8,1.33,1.382,0.9877,54.91
HPG,70_30,ARIMA,0.37,0.26,1.173,0.9725,48.9
VCB,70_30,ARIMA,0.92,0.57,0.938,0.9171,52.26
VIC,70_30,ARIMA,3.51,1.94,1.842,0.9977,54.16
VNM,70_30,ARIMA,0.92,0.61,1.047,0.9434,54.76
FPT,80_20,ARIMA,1.86,1.36,1.502,0.9839,54.47
HPG,80_20,ARIMA,0.42,0.29,1.289,0.9633,48.77
VCB,80_20,ARIMA,1.08,0.68,1.116,0.9173,52.97
VIC,80_20,ARIMA,4.3,2.83,2.408,0.9962,55.08
VNM,80_20,ARIMA,1.03,0.7,1.194,0.9423,55.16
