Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,GRU,1638.87,1128.42,1.247,0.9927,49.44
HPG,70_30,GRU,352.64,238.71,1.138,0.9796,46.48
VCB,70_30,GRU,1468.01,693.33,0.96,0.9896,47.94
VIC,70_30,GRU,2965.43,1397.41,1.637,0.998,48.8
VNM,70_30,GRU,885.19,577.27,0.983,0.9458,46.32
FPT,80_20,GRU,1789.9,1245.47,1.308,0.9885,46.81
HPG,80_20,GRU,373.73,246.8,1.12,0.9753,44.47
VCB,80_20,GRU,1642.98,664.61,1.008,0.986,50.23
VIC,80_20,GRU,3605.53,1930.95,1.803,0.9975,48.48
VNM,80_20,GRU,968.61,613.58,1.049,0.945,54.53
