Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,Linear Regression,1.84,1.36,1.4,0.9852,52.73
HPG,70_30,Linear Regression,0.37,0.25,1.152,0.9745,54.96
VCB,70_30,Linear Regression,0.88,0.59,0.97,0.94,49.19
VIC,70_30,Linear Regression,3.38,1.8,1.911,0.9974,47.0
VNM,70_30,Linear Regression,0.91,0.61,1.047,0.9432,51.75
FPT,80_20,Linear Regression,1.92,1.42,1.514,0.9851,49.47
HPG,80_20,Linear Regression,0.41,0.28,1.24,0.9697,53.7
VCB,80_20,Linear Regression,0.95,0.61,0.988,0.9163,49.18
VIC,80_20,Linear Regression,4.09,2.56,2.359,0.9964,47.55
VNM,80_20,Linear Regression,1.0,0.68,1.172,0.9423,52.72
