Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,LSTM,1.81,1.34,1.381,0.9854,48.51
HPG,70_30,LSTM,0.37,0.26,1.169,0.9742,45.89
VCB,70_30,LSTM,0.87,0.56,0.936,0.9436,48.64
VIC,70_30,LSTM,3.21,1.69,1.813,0.9975,52.9
VNM,70_30,LSTM,0.91,0.61,1.042,0.9425,50.09
FPT,80_20,LSTM,1.92,1.41,1.492,0.9853,45.14
HPG,80_20,LSTM,0.41,0.28,1.26,0.9693,46.05
VCB,80_20,LSTM,0.93,0.58,0.936,0.9188,47.43
VIC,80_20,LSTM,3.93,2.41,2.242,0.9965,57.76
VNM,80_20,LSTM,1.0,0.67,1.16,0.9421,47.28
