Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,SVR,1635.86,1115.04,1.231,0.9927,52.94
HPG,70_30,SVR,350.5,233.86,1.114,0.9799,52.87
VCB,70_30,SVR,1465.06,682.98,0.945,0.9897,48.53
VIC,70_30,SVR,2893.3,1364.71,1.615,0.9981,47.13
VNM,70_30,SVR,879.2,571.81,0.974,0.9465,48.41
FPT,80_20,SVR,1780.4,1224.43,1.285,0.9886,46.79
HPG,80_20,SVR,372.4,242.79,1.101,0.9754,54.12
VCB,80_20,SVR,1641.96,662.06,1.003,0.9861,51.35
VIC,80_20,SVR,3524.77,1891.0,1.787,0.9976,42.35
VNM,80_20,SVR,967.99,614.83,1.052,0.945,47.9
