Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,ARIMA,1.79,1.32,1.378,0.9884,55.26
HPG,70_30,ARIMA,0.37,0.26,1.177,0.9721,48.26
VCB,70_30,ARIMA,0.93,0.58,0.949,0.9165,52.55
VIC,70_30,ARIMA,3.61,2.01,1.854,0.9977,53.98
VNM,70_30,ARIMA,0.93,0.62,1.054,0.9437,54.5
FPT,80_20,ARIMA,1.85,1.35,1.51,0.9824,54.62
HPG,80_20,ARIMA,0.42,0.29,1.287,0.9616,50.27
VCB,80_20,ARIMA,1.09,0.7,1.14,0.9167,52.53
VIC,80_20,ARIMA,4.42,2.95,2.445,0.9961,53.85
VNM,80_20,ARIMA,1.03,0.7,1.204,0.9421,54.5
