Ticker,Split,Model,Fold,Train_End,Test_Start,Test_End,Train_Rows,Test_Rows,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
VCB,walkforward,Linear Regression,1,2020-02-13,2020-02-14,2021-05-31,325,324,0.7631,0.5498,1.4997,0.9727,45.55
VCB,walkforward,Linear Regression,2,2021-05-31,2021-06-01,2022-09-14,649,324,0.7252,0.536,1.2055,0.921,53.72
VCB,walkforward,Linear Regression,3,2022-09-14,2022-09-15,2023-12-27,973,324,0.7832,0.5897,1.1764,0.9853,47.52
VCB,walkforward,Linear Regression,4,2023-12-27,2023-12-28,2025-04-21,1297,324,0.764,0.4754,0.7963,0.8681,51.36
VCB,walkforward,Linear Regression,5,2025-04-21,2025-04-22,2026-08-07,1621,324,1.1594,0.7258,1.1668,0.9117,52.36
FPT,walkforward,Linear Regression,1,2020-02-13,2020-02-14,2021-05-31,325,324,0.5292,0.3542,1.4491,0.9933,48.17
FPT,walkforward,Linear Regression,2,2021-05-31,2021-06-01,2022-09-14,649,324,0.9425,0.6498,1.3275,0.9415,50.82
FPT,walkforward,Linear Regression,3,2022-09-14,2022-09-15,2023-12-27,973,324,0.8328,0.5672,1.0339,0.9909,51.34
FPT,walkforward,Linear Regression,4,2023-12-27,2023-12-28,2025-04-21,1297,324,1.7934,1.2617,1.2332,0.989,49.52
FPT,walkforward,Linear Regression,5,2025-04-21,2025-04-22,2026-08-07,1621,324,1.7476,1.299,1.4649,0.9815,53.48
HPG,walkforward,Linear Regression,1,2020-02-13,2020-02-14,2021-05-31,325,324,0.4599,0.3151,2.3636,0.9924,41.21
HPG,walkforward,Linear Regression,2,2021-05-31,2021-06-01,2022-09-14,649,324,0.5318,0.3996,1.8142,0.9853,45.48
HPG,walkforward,Linear Regression,3,2022-09-14,2022-09-15,2023-12-27,973,324,0.3645,0.2727,1.9042,0.9817,47.52
HPG,walkforward,Linear Regression,4,2023-12-27,2023-12-28,2025-04-21,1297,324,0.3022,0.2096,1.0631,0.8994,52.35
HPG,walkforward,Linear Regression,5,2025-04-21,2025-04-22,2026-08-07,1621,324,0.4148,0.2871,1.2155,0.9548,51.97
VIC,walkforward,Linear Regression,1,2020-02-13,2020-02-14,2021-05-31,325,324,1.0179,0.693,1.555,0.9692,51.04
VIC,walkforward,Linear Regression,2,2021-05-31,2021-06-01,2022-09-14,649,324,0.9462,0.6869,1.5786,0.9776,46.42
VIC,walkforward,Linear Regression,3,2022-09-14,2022-09-15,2023-12-27,973,324,0.6687,0.4396,1.579,0.9636,48.14
VIC,walkforward,Linear Regression,4,2023-12-27,2023-12-28,2025-04-21,1297,324,0.4838,0.2688,1.1237,0.9664,48.4
VIC,walkforward,Linear Regression,5,2025-04-21,2025-04-22,2026-08-07,1621,324,4.6246,3.1479,2.5073,0.9947,45.58
VNM,walkforward,Linear Regression,1,2020-02-13,2020-02-14,2021-05-31,325,324,1.3073,0.9354,1.3622,0.9713,47.59
VNM,walkforward,Linear Regression,2,2021-05-31,2021-06-01,2022-09-14,649,324,0.8964,0.6682,1.1005,0.9649,45.57
VNM,walkforward,Linear Regression,3,2022-09-14,2022-09-15,2023-12-27,973,324,0.8145,0.6229,1.0276,0.9422,52.15
VNM,walkforward,Linear Regression,4,2023-12-27,2023-12-28,2025-04-21,1297,324,0.7261,0.4811,0.8431,0.9411,47.8
VNM,walkforward,Linear Regression,5,2025-04-21,2025-04-22,2026-08-07,1621,324,1.0429,0.7289,1.2322,0.939,50.33
