Ticker,Split,Model,Fold,Train_End,Test_Start,Test_End,Train_Rows,Test_Rows,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
VCB,walkforward,Linear Regression,1,2017-07-10,2017-07-11,2019-04-22,449,446,0.5867,0.4081,1.6683,0.983,46.38
VCB,walkforward,Linear Regression,2,2019-04-22,2019-04-23,2021-01-26,895,446,0.6271,0.4457,1.2743,0.9771,49.01
VCB,walkforward,Linear Regression,3,2021-01-26,2021-01-27,2022-11-10,1341,446,0.7857,0.5795,1.3261,0.9175,51.71
VCB,walkforward,Linear Regression,4,2022-11-10,2022-11-11,2024-08-26,1787,446,0.7443,0.538,0.9752,0.9795,47.93
VCB,walkforward,Linear Regression,5,2024-08-26,2024-08-27,2026-06-15,2233,446,0.9941,0.6186,0.9985,0.9168,50.61
FPT,walkforward,Linear Regression,1,2019-12-12,2019-12-13,2021-04-01,326,324,0.46,0.3166,1.43,0.9901,50.17
FPT,walkforward,Linear Regression,2,2021-04-01,2021-04-02,2022-07-19,650,324,0.9375,0.6304,1.3327,0.9694,48.37
FPT,walkforward,Linear Regression,3,2022-07-19,2022-07-20,2023-11-02,974,324,0.7892,0.5259,0.9878,0.9885,51.19
FPT,walkforward,Linear Regression,4,2023-11-02,2023-11-03,2025-02-24,1298,324,1.5087,1.0885,1.099,0.9945,51.91
FPT,walkforward,Linear Regression,5,2025-02-24,2025-02-25,2026-06-15,1622,324,1.9646,1.4656,1.5883,0.9724,46.2
HPG,walkforward,Linear Regression,1,2019-12-12,2019-12-13,2021-04-01,326,324,0.2506,0.1738,1.7085,0.9956,50.8
HPG,walkforward,Linear Regression,2,2021-04-01,2021-04-02,2022-07-19,650,324,0.5407,0.4029,1.7821,0.9788,48.4
HPG,walkforward,Linear Regression,3,2022-07-19,2022-07-20,2023-11-02,974,324,0.3627,0.2721,1.9242,0.9787,48.85
HPG,walkforward,Linear Regression,4,2023-11-02,2023-11-03,2025-02-24,1298,324,0.2711,0.198,1.0045,0.9297,53.2
HPG,walkforward,Linear Regression,5,2025-02-24,2025-02-25,2026-06-15,1622,324,0.4325,0.2986,1.3013,0.9639,52.79
VIC,walkforward,Linear Regression,1,2019-12-12,2019-12-13,2021-04-01,326,324,0.9401,0.6115,1.4123,0.9504,49.63
VIC,walkforward,Linear Regression,2,2021-04-01,2021-04-02,2022-07-19,650,324,1.0398,0.7452,1.6069,0.975,46.6
VIC,walkforward,Linear Regression,3,2022-07-19,2022-07-20,2023-11-02,974,324,0.686,0.4753,1.6534,0.9587,49.49
VIC,walkforward,Linear Regression,4,2023-11-02,2023-11-03,2025-02-24,1298,324,0.3101,0.199,0.9203,0.9146,46.43
VIC,walkforward,Linear Regression,5,2025-02-24,2025-02-25,2026-06-15,1622,324,4.1737,2.7653,2.6313,0.9953,47.97
VNM,walkforward,Linear Regression,1,2019-12-12,2019-12-13,2021-04-01,326,324,1.402,0.9862,1.4077,0.9692,51.46
VNM,walkforward,Linear Regression,2,2021-04-01,2021-04-02,2022-07-19,650,324,1.0164,0.7605,1.1867,0.9642,43.14
VNM,walkforward,Linear Regression,3,2022-07-19,2022-07-20,2023-11-02,974,324,0.8595,0.6574,1.0486,0.9371,53.97
VNM,walkforward,Linear Regression,4,2023-11-02,2023-11-03,2025-02-24,1298,324,0.6621,0.4687,0.777,0.9322,47.3
VNM,walkforward,Linear Regression,5,2025-02-24,2025-02-25,2026-06-15,1622,324,1.1063,0.766,1.2748,0.9431,49.67
