Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,LSTM,1639.19,1127.13,1.245,0.9927,49.44
HPG,70_30,LSTM,353.33,241.79,1.153,0.9796,46.77
VCB,70_30,LSTM,1468.04,692.05,0.958,0.9896,48.24
VIC,70_30,LSTM,2959.33,1384.83,1.617,0.998,53.01
VNM,70_30,LSTM,885.83,575.85,0.98,0.9457,49.78
FPT,80_20,LSTM,1788.87,1243.48,1.306,0.9885,46.81
HPG,80_20,LSTM,374.0,247.32,1.123,0.9752,45.58
VCB,80_20,LSTM,1642.71,662.41,1.004,0.9861,48.65
VIC,80_20,LSTM,3603.52,1924.73,1.796,0.9975,49.88
VNM,80_20,LSTM,968.85,613.15,1.048,0.9449,54.53
