Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,SVR,1636.14,1117.33,1.234,0.9927,49.37
HPG,70_30,SVR,350.68,233.9,1.115,0.9798,53.02
VCB,70_30,SVR,1465.22,683.31,0.946,0.9897,48.6
VIC,70_30,SVR,2910.82,1373.39,1.617,0.9981,46.68
VNM,70_30,SVR,877.64,569.96,0.971,0.9467,48.63
FPT,80_20,SVR,1779.5,1223.29,1.285,0.9887,46.79
HPG,80_20,SVR,373.06,243.79,1.106,0.9753,54.12
VCB,80_20,SVR,1642.98,662.85,1.004,0.986,53.27
VIC,80_20,SVR,3548.43,1908.59,1.796,0.9976,42.49
VNM,80_20,SVR,966.55,612.7,1.048,0.9453,50.22
